Ft,MaxFt,MaxDepth,NumTrees,LR,Accuracy,MacroPrecision,MicroPrecision,MacroRecall,MicroRecall,MacroF1,MicroF1,MacroAUC,MicroAUC,Hamming,Time
ecfp,log2,3,500,0.8,0.781730,0.7259692144921005,0.7817301484828922,0.7000178466056802,0.7817301484828922,0.7114871562961369,0.7817301484828922,0.7801496917678725,0.8362976113621692,0.15709059608349474,55.383874
ecfp,None,3,200,0.2,0.789154,0.7713883572090401,0.7891542930923175,0.6718888719915693,0.7891542930923175,0.7069743694838933,0.7891542930923177,0.7582918102160632,0.8418657198192383,0.1437486550462664,346.155848
ecfp,None,3,200,0.5,0.789800,0.7412573667400555,0.7897998708844415,0.7025873655247022,0.7897998708844415,0.7190841595390856,0.7897998708844415,0.7818868790759943,0.8423499031633312,0.14202711426726922,387.034363
ecfp,None,3,200,0.8,0.781859,0.7272461349520578,0.7818592640413171,0.7029460726103676,0.7818592640413171,0.7136078259241613,0.7818592640413171,0.781713366882541,0.8363944480309876,0.1549386701097482,383.116911
ecfp,None,3,500,0.2,0.800065,0.7640596908491383,0.8000645577792123,0.707658781995901,0.8000645577792123,0.7305355789950341,0.8000645577792123,0.785328004966198,0.8500484183344094,0.1368624919302776,923.193482
ecfp,None,3,500,0.5,0.791995,0.7406424299278054,0.791994835377663,0.7135124940143346,0.791994835377663,0.7254321579392813,0.791994835377663,0.789782969316781,0.8439961265332472,0.14460942543576502,950.017941
ecfp,None,3,500,0.8,0.786249,0.7310833713163863,0.7862491930277598,0.7124461894537986,0.7862491930277598,0.7205945568517141,0.7862491930277598,0.788701702175518,0.83968689477082,0.14977404777275663,910.065556
ecfp,sqrt,3,200,0.2,0.779148,0.7680722898671776,0.7791478373143965,0.648235498577325,0.7791478373143965,0.687008310390584,0.7791478373143965,0.7407560246452185,0.8343608779857973,0.14977404777275663,49.801844
ecfp,sqrt,3,200,0.5,0.788121,0.7490735456117703,0.7881213686249193,0.6917102465441441,0.7881213686249193,0.7146264129969261,0.7881213686249193,0.7731716979004654,0.8410910264686895,0.14934366257800732,68.166580
ecfp,sqrt,3,200,0.8,0.781988,0.7302248333319286,0.7819883795997417,0.6979362784371083,0.7819883795997417,0.711728979584666,0.7819883795997417,0.7780826861560559,0.8364912846998063,0.15450828491499893,60.889187
ecfp,sqrt,3,500,0.2,0.795481,0.7642069746961491,0.7954809554551323,0.6937414737106457,0.7954809554551323,0.7209775682993182,0.7954809554551323,0.7750273735235681,0.8466107165913493,0.1437486550462664,87.643214
ecfp,sqrt,3,500,0.5,0.792318,0.7429103380781418,0.792317624273725,0.7105833567783407,0.792317624273725,0.7246347136588934,0.792317624273725,0.7877778626033092,0.8442382182052937,0.14460942543576502,75.966199
ecfp,sqrt,3,500,0.8,0.775403,0.715837385687619,0.7754342873815973,0.6981111229762857,0.7755326016785024,0.705981716946434,0.7754834128157605,0.7782751217341173,0.8316171723692705,0.15192597374650313,84.771315
rdk,auto,3,200,0.2,0.800581,0.7606831260167418,0.8005810200129115,0.7161480228631758,0.8005810200129115,0.7346912236566678,0.8005810200129115,0.791622952888428,0.8504357650096838,0.1368624919302776,496.557326
rdk,auto,3,200,0.5,0.798644,0.7484310338453698,0.7986442866365397,0.725590402775017,0.7986442866365397,0.735649814307507,0.7986442866365397,0.7987153476526561,0.8489832149774049,0.13729287712502689,541.366570
rdk,auto,3,200,0.8,0.799032,0.7480884513675914,0.799031633311814,0.7309277051221763,0.799031633311814,0.7386798497264883,0.799031633311814,0.8022276913130685,0.8492737249838606,0.1407359586830213,488.746035
