Ft,MaxFt,MaxDepth,NumTrees,Accuracy,MacroPrecision,MicroPrecision,MacroRecall,MicroRecall,MacroF1,MicroF1,MacroAUC,MicroAUC,Hamming,Time
ecfp,None,4,200,0.648547,0.7315694437078647,0.6485474499677213,0.3834124790851453,0.6485474499677213,0.3545428879427627,0.6485474499677213,0.5389103292715656,0.7364105874757908,0.23843339789111254,70.718099
ecfp,None,5,200,0.653260,0.7308488669685611,0.653260167850226,0.39248171619898936,0.653260167850226,0.37030201063323454,0.653260167850226,0.5458730700110509,0.7399451258876695,0.23197761996987304,88.656076
ecfp,None,2,500,0.638347,0.4949983923079278,0.6383473208521627,0.36607466388926796,0.6383473208521627,0.32299467818575905,0.6383473208521627,0.5256570189073304,0.7287604906391221,0.24531956100710137,92.288054
ecfp,None,3,500,0.645061,0.7297537895702615,0.6450613298902517,0.3782202846032367,0.6450613298902517,0.34593464854160316,0.6450613298902517,0.534715818399188,0.7337959974176889,0.23929416828061115,178.346587
ecfp,None,4,500,0.648741,0.7295076045950489,0.6487411233053584,0.3837712523178376,0.6487411233053584,0.35519907579572063,0.6487411233053584,0.5391833492049244,0.7365558424790188,0.23843339789111254,221.163409
ecfp,None,5,500,0.652227,0.7294567841728606,0.6522272433828276,0.39036445771296197,0.6522272433828276,0.3666166608893668,0.6522272433828276,0.5442498054749109,0.7391704325371207,0.23240800516462234,235.643787
ecfp,sqrt,2,200,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,5.671298
ecfp,sqrt,3,200,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,5.884186
ecfp,sqrt,4,200,0.624790,0.44145110040352464,0.6247901872175597,0.33515541200743715,0.6247901872175597,0.2598433535610263,0.6247901872175597,0.5014246763618866,0.7185926404131697,0.2569399612653325,6.984384
ecfp,sqrt,5,200,0.627308,0.537820131300158,0.6273079406068431,0.33922018920613545,0.6273079406068431,0.26830384157375564,0.6273079406068431,0.5045987623922931,0.7204809554551324,0.25478803529158595,7.685149
ecfp,sqrt,2,500,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,8.446583
ecfp,sqrt,3,500,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,9.609284
ecfp,sqrt,4,500,0.624467,0.40805125163585504,0.6244673983214978,0.334652452249957,0.6244673983214978,0.2588035954665089,0.6244673983214978,0.5010332679774185,0.7183505487411234,0.2569399612653325,11.000765
ecfp,sqrt,5,500,0.627760,0.5754089794540764,0.6277598450613298,0.33993127295165565,0.6277598450613298,0.26969759396585513,0.6277598450613298,0.5051379272602583,0.7208198837959975,0.25521842048633525,13.110089
rdk,auto,2,200,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,6.670890
rdk,auto,3,200,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,7.148767
rdk,auto,4,200,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,7.725505
rdk,auto,5,200,0.625629,0.4368818315708604,0.6256294383473209,0.3365179252589959,0.6256294383473209,0.26263609311633324,0.6256294383473209,0.5025056906166171,0.7192220787604907,0.2582311168495804,8.263544
rdk,auto,2,500,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,9.474466
rdk,auto,3,500,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,11.031887
rdk,auto,4,500,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,12.859462
rdk,auto,5,500,0.625178,0.4332126199309272,0.6251775338928341,0.3357467338630151,0.6251775338928341,0.26107684412021986,0.6251775338928341,0.501908792828295,0.7188831504196256,0.2582311168495804,13.299323
rdk,log2,2,200,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,5.535855
