"Supplementary Table 1: Journal articles included in the data set, showing numbers of compounds and assays extracted from each and ChEMBL document identifiers."						
						
Source	Number compounds	Number assays	Number activities	Protocol 1	Protocol 2	ChEMBL document identifier
"J Pesticide Sci (2006), 31(2), 110-115 (DOI:10.1584/jpestics.31.110)"	21	2	31	Manual data extraction	Data standardisation and curation	CHEMBL3044607
"J Pesticide Sci (2012), 37(2), 164-168 (DOI:10.1584/jpestics.G11-41)"	18	10	138	Manual data extraction	Data standardisation and curation	CHEMBL3044608
"J Pesticide Sci (2002), 27(4), 353-359 (DOI:10.1584/jpestics.27.353)"	25	24	78	Manual data extraction	Data standardisation and curation	CHEMBL3044609
"Tetrahedron (2001), 57(1), 119-126 (DOI:10.1016/S0040-4020(00)00994-7)"	7	3	7	Manual data extraction	Data standardisation and curation	CHEMBL3044610
"Med Chem Res (2010), 19(4), 344-363 (DOI:10.1007/s00044-009-9195-7)"	30	3	120	Manual data extraction	Data standardisation and curation	CHEMBL3044611
"Med Chem Res (2012), 21(8), 1780-1784 (DOI:10.1007/s00044-011-9694-1)"	17	7	113	Manual data extraction	Data standardisation and curation	CHEMBL3044612
"J Pesticide Sci (2002), 27(3), 267-271 (DOI:10.1584/jpestics.27.267)"	13	7	78	Manual data extraction	Data standardisation and curation	CHEMBL3044613
"Med Chem Res (2007), 16(3), 119-129 (DOI:10.1007/s00044-007-9015-x)"	11	6	42	Manual data extraction	Data standardisation and curation	CHEMBL3044614
"Med Chem Res (2011), 20(1), 93-100 (DOI:10.1007/s00044-009-9288-3)"	20	8	160	Manual data extraction	Data standardisation and curation	CHEMBL3044615
"Med Chem Res (2012), 21(11), 3885-3896 (DOI:10.1007/s00044-011-9929-1)"	27	2	42	Manual data extraction	Data standardisation and curation	CHEMBL3044616
"Med Chem Res (2012), 21(1), 116-123 (DOI:10.1007/s00044-010-9504-1)"	5	10	41	Manual data extraction	Data standardisation and curation	CHEMBL3044617
"J Agric Food Chem (2011), 59(18), 9910-9915 (PMID:21819085)"	5	20	100	Manual data extraction	Data standardisation and curation	CHEMBL3044618
"J Agric Food Chem (2003), 51(4), 890-896 (PMID:12568545)"	12	23	67	Manual data extraction	Data standardisation and curation	CHEMBL3044619
"J Agric Food Chem (2008), 56(4), 1316-1321 (PMID:18211014)"	1	16	16	Manual data extraction	Data standardisation and curation	CHEMBL3044620
"Med Chem Res (2012), 21(11), 3615-3619 (DOI:10.1007/s00044-011-9894-8)"	7	8	27	Manual data extraction	Data standardisation and curation	CHEMBL3044621
"Pest Manag Sci (2010), 66(1), 51-58 (PMID:19697446)"	24	4	68	Manual data extraction	Data standardisation and curation	CHEMBL3044622
"Pest Manag Sci (2009), 65(9), 969-974 (PMID:19449341)"	8	62	62	Manual data extraction	Data standardisation and curation	CHEMBL3044623
"Pest Manag Sci (2009), 65(10), 1065-1070 (PMID:19479950)"	1	75	75	Manual data extraction	Data standardisation and curation	CHEMBL3044624
"Pest Manag Sci (2012), 68(7), 1077-1082 (PMID:22383419)"	2	47	47	Manual data extraction	Data standardisation and curation	CHEMBL3044625
"Med Chem Res (2011), 20(9), 1643-1649 (DOI:10.1007/s00044-010-9478-z)"	47	1	47	Manual data extraction	Data standardisation and curation	CHEMBL3044626
"Crop Protection (2006), 25(6), 542-548 (DOI:10.1016/j.cropro.2005.08.010)"	2	16	21	Manual data extraction	Data standardisation and curation	CHEMBL3044627
"Agric Biol Chem (1991), 55(12), 3143-3145 (DOI:10.1271/bbb1961.55.3143)"	3	1	3	Manual data extraction	Data standardisation and curation	CHEMBL3044628
"Med Chem Res (2013), 22(8), 3888-3896 (DOI:10.1007/s00044-012-0390-6)"	6	34	125	Manual data extraction	Data standardisation and curation	CHEMBL3044629
"Med Chem Res (2011), 20(5), 576-586 (DOI:10.1007/s00044-010-9353-y)"	17	4	68	Manual data extraction	Data standardisation and curation	CHEMBL3044630
"Med Chem Res (2013), 22(9), 4110-4124 (DOI:10.1007/s00044-012-0411-5)"	7	120	927	Manual data extraction	Data standardisation and curation	CHEMBL3044631
"J Agric Food Chem (2010), 58(5), 2630-2636 (PMID:20014761)"	24	23	366	Manual data extraction	Data standardisation and curation	CHEMBL3044632
"J Pesticide Sci (2002), 27(4), 365-373 (DOI:10.1584/jpestics.27.365)"	15	4	29	Manual data extraction	Data standardisation and curation	CHEMBL3044633
"Med Chem Res (2013), 22(10), 4715-4726 (DOI:10.1007/s00044-013-0480-0)"	22	8	168	Manual data extraction	Data standardisation and curation	CHEMBL3044634
"Crop Protection (2006), 25(9), 1024-1031 (DOI:10.1016/j.cropro.2006.02.001)"	7	55	143	Manual data extraction	Data standardisation and curation	CHEMBL3044635
"Pest Manag Sci (2010), 66(3), 308-312 (PMID:19937976)"	5	60	60	Manual data extraction	Data standardisation and curation	CHEMBL3044636
"Eur. J. Biochem. (1989), 185(3), 605-614 (PMID:2591378)"	11	7	35	Manual data extraction	Data standardisation and curation	CHEMBL3044637
"J Pesticide Sci (2011), 36(1), 58-62 (DOI:10.1584/jpestics.G10-66)"	13	2	14	Manual data extraction	Data standardisation and curation	CHEMBL3044638
"Med Chem Res (2013), 22(8), 3969-3983 (DOI:10.1007/s00044-012-0401-7)"	39	8	213	Manual data extraction	Data standardisation and curation	CHEMBL3044639
"Ind Crops Prod (2013), 42(), 137-144 (DOI:10.1016/j.indcrop.2012.05.014)"	2	44	71	Manual data extraction	Data standardisation and curation	CHEMBL3044640
"Med Chem Res (2011), 20(9), 1638-1642 (DOI:10.1007/s00044-010-9475-2)"	8	12	48	Manual data extraction	Data standardisation and curation	CHEMBL3044641
"Med Chem Res (2012), 21(7), 1283-1289 (DOI:10.1007/s00044-011-9639-8)"	5	6	30	Manual data extraction	Data standardisation and curation	CHEMBL3044642
"J Agric Food Chem (2007), 55(21), 8430-8435 (PMID:17894463)"	10	31	50	Manual data extraction	Data standardisation and curation	CHEMBL3044643
"Med Chem Res (2013), 22(1), 409-414 (DOI:10.1007/s00044-012-0047-5)"	4	3	12	Manual data extraction	Data standardisation and curation	CHEMBL3044644
