"Supplementary Table 1: Journal articles included in the data set, showing numbers of compounds and assays extracted from each and ChEMBL document identifiers."						
						
Source	Number compounds	Number assays	Number activities	Protocol 1	Protocol 2	ChEMBL document identifier
"J Pesticide Sci (1990), 15(1), 13-22 (DOI:10.1584/jpestics.15.13)"	70	9	296	Manual data extraction	Data standardisation and curation	CHEMBL3045726
"Med Chem Res (2012), 21(9), 2395-2407 (DOI:10.1007/s00044-011-9751-9)"	17	10	108	Manual data extraction	Data standardisation and curation	CHEMBL3045727
"Med Chem Res (2013), 22(5), 2351-2359 (DOI:10.1007/s00044-012-0229-1)"	12	7	54	Manual data extraction	Data standardisation and curation	CHEMBL3045728
"J Agric Food Chem (2007), 55(5), 1712-1717 (PMID:17274628)"	10	6	25	Manual data extraction	Data standardisation and curation	CHEMBL3045729
"Med Chem Res (2012), 21(5), 568-577 (DOI:10.1007/s00044-011-9571-y)"	70	1	70	Manual data extraction	Data standardisation and curation	CHEMBL3045730
"Molecules (2012), 17(3), 3181-3201 (PMID:22418925)"	43	9	358	Manual data extraction	Data standardisation and curation	CHEMBL3045731
"Pest Manag Sci (2010), 66(8), 875-878 (PMID:20602525)"	22	1	22	Manual data extraction	Data standardisation and curation	CHEMBL3045732
"Med Chem Res (2012), 21(8), 1597-1610 (DOI:10.1007/s00044-011-9672-7)"	49	1	49	Manual data extraction	Data standardisation and curation	CHEMBL3045733
"J Pesticide Sci (1994), 19(3), 151-156 (DOI:10.1584/jpestics.19.3_151)"	34	13	112	Manual data extraction	Data standardisation and curation	CHEMBL3045734
"Med Chem Res (2012), 21(7), 1016-1022 (DOI:10.1007/s00044-011-9614-4)"	2	16	24	Manual data extraction	Data standardisation and curation	CHEMBL3045735
"Med Chem Res (2012), 21(8), 2117-2122 (DOI:10.1007/s00044-011-9788-9)"	11	4	50	Manual data extraction	Data standardisation and curation	CHEMBL3045736
"Pest Manag Sci (2011), 67(12), 1534-1540 (PMID:21626654)"	3	12	39	Manual data extraction	Data standardisation and curation	CHEMBL3045737
"J Pesticide Sci (2005), 30(1), 50-52 (DOI:10.1584/jpestics.30.50)"	1	2	2	Manual data extraction	Data standardisation and curation	CHEMBL3045738
"Biosci. Biotechnol. Biochem. (1997), 61(12), 2103-2105 (DOI:10.1271/bbb.61.2103)"	12	4	31	Manual data extraction	Data standardisation and curation	CHEMBL3045739
"J Agric Food Chem (2013), 61(14), 3428-3434 (PMID:23488669)"	7	14	32	Manual data extraction	Data standardisation and curation	CHEMBL3045740
"Med Chem Res (2013), 22(10), 4810-4817 (DOI:10.1007/s00044-013-0475-x)"	18	5	41	Manual data extraction	Data standardisation and curation	CHEMBL3045741
"Med Chem Res (2012), 21(11), 3514-3522 (DOI:10.1007/s00044-011-9903-y)"	12	6	57	Manual data extraction	Data standardisation and curation	CHEMBL3045742
"J Agric Food Chem (2009), 57(20), 9585-9592 (PMID:19772294)"	28	83	620	Manual data extraction	Data standardisation and curation	CHEMBL3045743
"Pest Manag Sci (2010), 66(4), 349-357 (PMID:19937968)"	1	28	31	Manual data extraction	Data standardisation and curation	CHEMBL3045744
"Med Chem Res (2011), 20(7), 968-974 (DOI:10.1007/s00044-010-9426-y)"	2	13	16	Manual data extraction	Data standardisation and curation	CHEMBL3045745
"Crop Protection (2013), 45(), 83-88 (DOI:10.1016/j.cropro.2012.11.014)"	1	1	1	Manual data extraction	Data standardisation and curation	CHEMBL3045746
"J Agric Food Chem (2003), 51(24), 6953-6956 (PMID:14611153)"	8	2	10	Manual data extraction	Data standardisation and curation	CHEMBL3045747
"Med Chem Res (2012), 21(9), 2458-2464 (DOI:10.1007/s00044-011-9769-z)"	9	4	36	Manual data extraction	Data standardisation and curation	CHEMBL3045748
"J Agric Food Chem (2003), 51(2), 369-374 (PMID:12517097)"	3	12	21	Manual data extraction	Data standardisation and curation	CHEMBL3045749
"J Agric Food Chem (2010), 58(17), 9476-9482 (PMID:20695429)"	28	6	61	Manual data extraction	Data standardisation and curation	CHEMBL3045750
"Biosci. Biotechnol. Biochem. (1993), 57(1), 127-128 (DOI:10.1271/bbb.57.127)"	16	1	16	Manual data extraction	Data standardisation and curation	CHEMBL3045751
"Biochem Syst Ecol (2001), 29(7), 759-762 (DOI:10.1016/S0305-1978(00)00108-3)"	3	3	9	Manual data extraction	Data standardisation and curation	CHEMBL3045752
"Med Chem Res (2013), 22(2), 949-963 (DOI:10.1007/s00044-012-0082-2)"	5	1	5	Manual data extraction	Data standardisation and curation	CHEMBL3045753
"J Agric Food Chem (2009), 57(18), 8514-8519 (PMID:19702270)"	3	21	22	Manual data extraction	Data standardisation and curation	CHEMBL3045754
"Proc. Natl. Acad. Sci. U.S.A. (2004), 101(32), 11903-11908 (PMID:15277688)"	12	11	113	Manual data extraction	Data standardisation and curation	CHEMBL3045755
"Med Chem Res (2009), 18(6), 421-432 (DOI:10.1007/s00044-008-9138-8)"	10	2	15	Manual data extraction	Data standardisation and curation	CHEMBL3045756
"Med Chem Res (2012), 21(6), 891-907 (DOI:10.1007/s00044-011-9599-z)"	71	3	184	Manual data extraction	Data standardisation and curation	CHEMBL3045757
"J Pesticide Sci (1992), 17(1), 17-25 (DOI:10.1584/jpestics.17.17)"	78	10	318	Manual data extraction	Data standardisation and curation	CHEMBL3045758
"J Pesticide Sci (2002), 27(3), 229-234 (DOI:10.1584/jpestics.27.229)"	4	20	40	Manual data extraction	Data standardisation and curation	CHEMBL3045759
"Med Chem Res (2013), 22(5), 2115-2123 (DOI:10.1007/s00044-012-0203-y)"	6	6	21	Manual data extraction	Data standardisation and curation	CHEMBL3045760
"Med Chem Res (2013), 22(9), 4338-4346 (DOI:10.1007/s00044-012-0437-8)"	15	7	102	Manual data extraction	Data standardisation and curation	CHEMBL3045761
"Farmaco (2000), 55(5), 338-344 (PMID:10983278)"	13	24	95	Manual data extraction	Data standardisation and curation	CHEMBL3045762
"Med Chem Res (2012), 21(10), 3288-3293 (DOI:10.1007/s00044-011-9874-z)"	13	1	13	Manual data extraction	Data standardisation and curation	CHEMBL3045763
"J Pesticide Sci (2001), 26(4), 366-370 (DOI:10.1584/jpestics.26.366)"	6	2	12	Manual data extraction	Data standardisation and curation	CHEMBL3045764
"J Agric Food Chem (2003), 51(18), 5337-5343 (PMID:12926880)"	23	2	57	Manual data extraction	Data standardisation and curation	CHEMBL3045765
"J Agric Food Chem (2013), 61(8), 1794-1803 (PMID:23379671)"	30	8	87	Manual data extraction	Data standardisation and curation	CHEMBL3045766
"Med Chem Res (2012), 21(11), 3818-3825 (DOI:10.1007/s00044-011-9918-4)"	22	15	160	Manual data extraction	Data standardisation and curation	CHEMBL3045767
"Med Chem Res (2012), 21(3), 395-405 (DOI:10.1007/s00044-010-9545-5)"	22	9	103	Manual data extraction	Data standardisation and curation	CHEMBL3045768
"Med Chem Res (2011), 20(6), 760-768 (DOI:10.1007/s00044-010-9385-3)"	5	1	5	Manual data extraction	Data standardisation and curation	CHEMBL3045769
"Med Chem Res (2013), 22(6), 2589-2601 (DOI:10.1007/s00044-012-0258-9)"	12	115	785	Manual data extraction	Data standardisation and curation	CHEMBL3045770
"J Pesticide Sci (1998), 23(2), 129-136 (DOI:10.1584/jpestics.23.129)"	18	14	252	Manual data extraction	Data standardisation and curation	CHEMBL3045771
"Med Chem Res (2010), 19(1), 11-24 (DOI:10.1007/s00044-009-9168-x)"	22	13	171	Manual data extraction	Data standardisation and curation	CHEMBL3045772
"Med Chem Res (2012), 21(12), 4214-4218 (DOI:10.1007/s00044-011-9953-1)"	32	1	32	Manual data extraction	Data standardisation and curation	CHEMBL3045773
"J Agric Food Chem (2003), 51(24), 6957-6960 (PMID:14611154)"	1	3	3	Manual data extraction	Data standardisation and curation	CHEMBL3045774
"Crop Protection (2007), 26(10), 1507-1513 (DOI:10.1016/j.cropro.2006.12.014)"	2	31	33	Manual data extraction	Data standardisation and curation	CHEMBL3045775
"Med Chem Res (2012), 21(9), 2368-2378 (DOI:10.1007/s00044-011-9753-7)"	19	15	147	Manual data extraction	Data standardisation and curation	CHEMBL3045776
"J Agric Food Chem (2004), 52(4), 879-883 (PMID:14969545)"	1	88	88	Manual data extraction	Data standardisation and curation	CHEMBL3045777
"J Agric Food Chem (2012), 60(12), 2976-2981 (PMID:22385216)"	5	2	5	Manual data extraction	Data standardisation and curation	CHEMBL3045778
"Med Chem Res (2012), 21(10), 2902-2910 (DOI:10.1007/s00044-011-9810-2)"	14	7	84	Manual data extraction	Data standardisation and curation	CHEMBL3045779
"Med Chem Res (2011), 20(7), 1042-1053 (DOI:10.1007/s00044-010-9437-8)"	22	1	22	Manual data extraction	Data standardisation and curation	CHEMBL3045780
"J Pesticide Sci (2006), 31(4), 397-404 (DOI:10.1584/jpestics.G06-13)"	4	9	23	Manual data extraction	Data standardisation and curation	CHEMBL3045781
"Med Chem Res (2004), 13(6), 518-527 (DOI:10.1007/s00044-004-0051-5)"	17	4	67	Manual data extraction	Data standardisation and curation	CHEMBL3045782
"Med Chem Res (2013), 22(3), 1057-1064 (DOI:10.1007/s00044-012-0099-6)"	13	2	26	Manual data extraction	Data standardisation and curation	CHEMBL3045783
"Med Chem Res (2010), 19(8), 1011-1024 (DOI:10.1007/s00044-009-9247-z)"	1	20	20	Manual data extraction	Data standardisation and curation	CHEMBL3045784
"Med Chem Res (2012), 21(10), 3240-3245 (DOI:10.1007/s00044-011-9862-3)"	13	2	25	Manual data extraction	Data standardisation and curation	CHEMBL3045785
"J Agric Food Chem (2002), 50(16), 4484-4490 (PMID:12137465)"	56	1	56	Manual data extraction	Data standardisation and curation	CHEMBL3045786
"Med Chem Res (2013), 22(6), 2879-2888 (DOI:10.1007/s00044-012-0300-y)"	17	15	230	Manual data extraction	Data standardisation and curation	CHEMBL3045787
"Pest Manag Sci (2012), 68(6), 853-857 (PMID:22395950)"	2	62	66	Manual data extraction	Data standardisation and curation	CHEMBL3045788
"Med Chem Res (2013), 22(4), 1825-1836 (DOI:10.1007/s00044-012-0180-1)"	27	25	103	Manual data extraction	Data standardisation and curation	CHEMBL3045789
"Med Chem Res (2008), 17(2), 258-266 (DOI:10.1007/s00044-007-9061-4)"	18	1	36	Manual data extraction	Data standardisation and curation	CHEMBL3045790
"Med Chem Res (2012), 21(11), 3646-3655 (DOI:10.1007/s00044-011-9901-0)"	16	5	47	Manual data extraction	Data standardisation and curation	CHEMBL3045791
"Med Chem Res (2013), 22(11), 5481-5489 (DOI:10.1007/s00044-013-0543-2)"	10	36	324	Manual data extraction	Data standardisation and curation	CHEMBL3045792
"Med Chem Res (2012), 21(12), 4252-4260 (DOI:10.1007/s00044-011-9943-3)"	26	20	236	Manual data extraction	Data standardisation and curation	CHEMBL3045793
"Med Chem Res (2013), 22(6), 2737-2745 (DOI:10.1007/s00044-012-0273-x)"	12	13	91	Manual data extraction	Data standardisation and curation	CHEMBL3045794
"J Pesticide Sci (1995), 20(1), 41-47 (DOI:10.1584/jpestics.20.41)"	19	6	113	Manual data extraction	Data standardisation and curation	CHEMBL3045795
"J Agric Food Chem (2000), 48(12), 6016-6024 (PMID:11312774)"	8	11	75	Manual data extraction	Data standardisation and curation	CHEMBL3045796
"J Agric Food Chem (2010), 58(5), 2710-2714 (PMID:20000422)"	3	15	45	Manual data extraction	Data standardisation and curation	CHEMBL3045797
"J Agric Food Chem (2008), 56(12), 4825-4831 (PMID:18522406)"	1	32	32	Manual data extraction	Data standardisation and curation	CHEMBL3045798
"Pest Manag Sci (2011), 67(1), 94-99 (PMID:20960471)"	5	3	15	Manual data extraction	Data standardisation and curation	CHEMBL3045799
"J Pesticide Sci (2003), 28(4), 416-421 (DOI:10.1584/jpestics.28.416)"	13	15	28	Manual data extraction	Data standardisation and curation	CHEMBL3045800
"J Pesticide Sci (1995), 20(2), 119-128 (DOI:10.1584/jpestics.20.119)"	15	3	40	Manual data extraction	Data standardisation and curation	CHEMBL3045801
"Med Chem Res (2013), 22(11), 5236-5247 (DOI:10.1007/s00044-013-0519-2)"	15	58	870	Manual data extraction	Data standardisation and curation	CHEMBL3045802
"Chem Pharm Bull (Tokyo) (2005), 53(9), 1183-1189 (PMID:16141594)"	24	1	24	Manual data extraction	Data standardisation and curation	CHEMBL3045803
"J Pesticide Sci (1998), 23(3), 268-274 (DOI:10.1584/jpestics.23.268)"	23	25	266	Manual data extraction	Data standardisation and curation	CHEMBL3045804
"Med Chem Res (2012), 21(4), 468-476 (DOI:10.1007/s00044-011-9553-0)"	11	10	76	Manual data extraction	Data standardisation and curation	CHEMBL3045805
"Med Chem Res (2012), 21(8), 2012-2022 (DOI:10.1007/s00044-011-9735-9)"	11	14	106	Manual data extraction	Data standardisation and curation	CHEMBL3045806
"Med Chem Res (2013), 22(10), 4886-4892 (DOI:10.1007/s00044-013-0500-0)"	11	7	47	Manual data extraction	Data standardisation and curation	CHEMBL3045807
"J Agric Food Chem (2003), 51(24), 6949-6952 (PMID:14611152)"	5	2	10	Manual data extraction	Data standardisation and curation	CHEMBL3045808
"Crop Protection (2012), 34(), 76-72 (DOI:10.1016/j.cropro.2011.12.007)"	28	2	84	Manual data extraction	Data standardisation and curation	CHEMBL3045809
"Med Chem Res (2012), 21(8), 1967-1976 (DOI:10.1007/s00044-011-9708-z)"	15	28	336	Manual data extraction	Data standardisation and curation	CHEMBL3045810
"Med Chem Res (2012), 21(10), 2823-2826 (DOI:10.1007/s00044-011-9806-y)"	36	1	36	Manual data extraction	Data standardisation and curation	CHEMBL3045811
"Med Chem Res (2013), 22(9), 4360-4366 (DOI:10.1007/s00044-012-0450-y)"	11	37	212	Manual data extraction	Data standardisation and curation	CHEMBL3045812
"Med Chem Res (2008), 17(8), 475-486 (DOI:10.1007/s00044-007-9020-0)"	3	10	35	Manual data extraction	Data standardisation and curation	CHEMBL3045813
"Biol. Pharm. Bull. (2000), 23(8), 995-997 (PMID:10963310)"	7	36	109	Manual data extraction	Data standardisation and curation	CHEMBL3045814
"Bioorg. Med. Chem. (2012), 20(13), 3991-3996 (PMID:22672981)"	6	6	24	Manual data extraction	Data standardisation and curation	CHEMBL3045815
"Med Chem Res (2013), 22(10), 5044-5055 (DOI:10.1007/s00044-013-0512-9)"	20	10	148	Manual data extraction	Data standardisation and curation	CHEMBL3045816
"Med Chem Res (2011), 20(1), 62-66 (DOI:10.1007/s00044-009-9287-4)"	5	8	9	Manual data extraction	Data standardisation and curation	CHEMBL3045817
"Med Chem Res (2007), 16(4), 155-161 (DOI:10.1007/s00044-007-9012-0)"	2	1	2	Manual data extraction	Data standardisation and curation	CHEMBL3045818
"Biosci. Biotechnol. Biochem. (2002), 66(8), 1731-1736 (PMID:12353636)"	3	11	23	Manual data extraction	Data standardisation and curation	CHEMBL3045819
"Med Chem Res (2012), 21(2), 152-156 (DOI:10.1007/s00044-010-9519-7)"	2	1	2	Manual data extraction	Data standardisation and curation	CHEMBL3045820
"Med Chem Res (2012), 21(11), 3406-3416 (DOI:10.1007/s00044-011-9861-4)"	21	8	168	Manual data extraction	Data standardisation and curation	CHEMBL3045821
"Biochem Syst Ecol (1994), 22(2), 113-120 (DOI:10.1016/0305-1978(94)90001-9)"	16	13	61	Manual data extraction	Data standardisation and curation	CHEMBL3045822
"J Pesticide Sci (2004), 29(3), 200-204 (DOI:10.1584/jpestics.29.200)"	8	4	20	Manual data extraction	Data standardisation and curation	CHEMBL3045823
"J Agric Food Chem (2011), 59(7), 2825-2828 (PMID:21341671)"	8	4	32	Manual data extraction	Data standardisation and curation	CHEMBL3045824
"J Agric Food Chem (2010), 58(21), 11384-11389 (PMID:20929233)"	28	6	114	Manual data extraction	Data standardisation and curation	CHEMBL3045825
"Med Chem Res (2009), 18(7), 555-565 (DOI:10.1007/s00044-008-9149-5)"	12	34	264	Manual data extraction	Data standardisation and curation	CHEMBL3045826
"Med Chem Res (2010), 19(6), 515-523 (DOI:10.1007/s00044-009-9207-7)"	1	8	8	Manual data extraction	Data standardisation and curation	CHEMBL3045827
"J Agric Food Chem (2003), 51(14), 3966-3972 (PMID:12822931)"	3	13	19	Manual data extraction	Data standardisation and curation	CHEMBL3045828
"J Agric Food Chem (2000), 48(8), 3677-3681 (PMID:10956169)"	12	11	92	Manual data extraction	Data standardisation and curation	CHEMBL3045829
"Crop Protection (2007), 26(5), 753-759 (DOI:10.1016/j.cropro.2006.07.001)"	3	39	45	Manual data extraction	Data standardisation and curation	CHEMBL3045830
"Med Chem Res (2012), 21(10), 2837-2853 (DOI:10.1007/s00044-011-9815-x)"	50	1	100	Manual data extraction	Data standardisation and curation	CHEMBL3045831
"Med Chem Res (2011), 20(6), 678-686 (DOI:10.1007/s00044-010-9369-3)"	25	17	57	Manual data extraction	Data standardisation and curation	CHEMBL3045832
"Med Chem Res (2013), 22(10), 4654-4662 (DOI:10.1007/s00044-013-0470-2)"	23	8	184	Manual data extraction	Data standardisation and curation	CHEMBL3045833
"Med Chem Res (2004), 13(3), 190-199 (DOI:10.1007/s00044-004-0024-8)"	5	21	68	Manual data extraction	Data standardisation and curation	CHEMBL3045834
"Med Chem Res (2012), 21(6), 844-852 (DOI:10.1007/s00044-011-9592-6)"	12	54	519	Manual data extraction	Data standardisation and curation	CHEMBL3045835
"Med Chem Res (2011), 20(9), 1490-1498 (DOI:10.1007/s00044-010-9392-4)"	12	12	126	Manual data extraction	Data standardisation and curation	CHEMBL3045836
"J Agric Food Chem (2009), 57(15), 6590-6595 (PMID:19586051)"	12	10	81	Manual data extraction	Data standardisation and curation	CHEMBL3045837
"Med Chem Res (2013), 22(4), 1689-1699 (DOI:10.1007/s00044-012-0154-3)"	19	17	289	Manual data extraction	Data standardisation and curation	CHEMBL3045838
"J Agric Food Chem (2008), 56(6), 1955-1962 (PMID:18284200)"	1	17	17	Manual data extraction	Data standardisation and curation	CHEMBL3045839
"Med Chem Res (2013), 22(2), 976-985 (DOI:10.1007/s00044-012-0091-1)"	10	2	20	Manual data extraction	Data standardisation and curation	CHEMBL3045840
"Bioorg. Med. Chem. Lett. (2012), 22(11), 3800-3806 (PMID:22552196)"	14	12	108	Manual data extraction	Data standardisation and curation	CHEMBL3045841
"Med Chem Res (2012), 21(12), 4324-4329 (DOI:10.1007/s00044-012-9974-4)"	7	5	15	Manual data extraction	Data standardisation and curation	CHEMBL3045842
"J Pesticide Sci (1992), 17(4), 231-236 (DOI:10.1584/jpestics.17.4_231)"	49	6	155	Manual data extraction	Data standardisation and curation	CHEMBL3045843
"Med Chem Res (2012), 21(11), 3709-3719 (DOI:10.1007/s00044-011-9921-9)"	9	5	45	Manual data extraction	Data standardisation and curation	CHEMBL3045844
"Med Chem Res (2012), 21(7), 1166-1178 (DOI:10.1007/s00044-011-9622-4)"	42	1	84	Manual data extraction	Data standardisation and curation	CHEMBL3045845
"Med Chem Res (2011), 20(7), 930-945 (DOI:10.1007/s00044-010-9412-4)"	11	3	11	Manual data extraction	Data standardisation and curation	CHEMBL3045846
"Crop Protection (2009), 28(6), 489-494 (DOI:10.1016/j.cropro.2009.01.011)"	3	14	15	Manual data extraction	Data standardisation and curation	CHEMBL3045847
"Med Chem Res (2011), 20(9), 1473-1481 (DOI:10.1007/s00044-010-9386-2)"	13	14	91	Manual data extraction	Data standardisation and curation	CHEMBL3045848
"Ind Crops Prod (2010), 31(2), 284-288 (DOI:10.1016/j.indcrop.2009.11.005)"	8	8	27	Manual data extraction	Data standardisation and curation	CHEMBL3045849
"J Pesticide Sci (2005), 30(1), 17-21 (DOI:10.1584/jpestics.30.17)"	16	12	26	Manual data extraction	Data standardisation and curation	CHEMBL3045850
"Med Chem Res (2012), 21(10), 2762-2771 (DOI:10.1007/s00044-011-9808-9)"	20	19	161	Manual data extraction	Data standardisation and curation	CHEMBL3045851
"Tetrahedron (2010), 66(36), 7257-7261 (DOI:10.1016/j.tet.2010.07.020)"	2	1	2	Manual data extraction	Data standardisation and curation	CHEMBL3045852
"Pest Manag Sci (2012), 68(1), 123-126 (PMID:21770011)"	3	10	12	Manual data extraction	Data standardisation and curation	CHEMBL3045853
"J Agric Food Chem (2006), 54(6), 2129-2133 (PMID:16536586)"	19	13	115	Manual data extraction	Data standardisation and curation	CHEMBL3045854
"Med Chem Res (2005), 14(1), 26-39 (DOI:10.1007/s00044-004-0123-6)"	5	15	31	Manual data extraction	Data standardisation and curation	CHEMBL3045855
"Med Chem Res (2013), 22(6), 2802-2808 (DOI:10.1007/s00044-012-0279-4)"	13	10	100	Manual data extraction	Data standardisation and curation	CHEMBL3045856
"Pest Manag Sci (2011), 67(10), 1285-1293 (PMID:21520486)"	10	26	60	Manual data extraction	Data standardisation and curation	CHEMBL3045857
"Crop Protection (2007), 26(12), 1826-1830 (DOI:10.1016/j.cropro.2007.03.017)"	3	45	60	Manual data extraction	Data standardisation and curation	CHEMBL3045858
"Med Chem Res (2009), 18(4), 243-254 (DOI:10.1007/s00044-008-9123-2)"	38	2	76	Manual data extraction	Data standardisation and curation	CHEMBL3045859
"Crop Protection (2006), 25(9), 963-967 (DOI:10.1016/j.cropro.2006.01.002)"	2	22	22	Manual data extraction	Data standardisation and curation	CHEMBL3045860
"J Agric Food Chem (2011), 59(2), 628-634 (PMID:21166420)"	31	6	72	Manual data extraction	Data standardisation and curation	CHEMBL3045861
"Med Chem Res (2004), 13(6), 540-552 (DOI:10.1007/s00044-004-0053-3)"	2	84	168	Manual data extraction	Data standardisation and curation	CHEMBL3045862
"Crop Protection (2009), 28(8), 710-712 (DOI:10.1016/j.cropro.2009.03.014)"	1	7	7	Manual data extraction	Data standardisation and curation	CHEMBL3045863
"J Agric Food Chem (2011), 59(11), 6071-6081 (PMID:21520970)"	24	5	105	Manual data extraction	Data standardisation and curation	CHEMBL3045864
"Med Chem Res (2013), 22(8), 3943-3952 (DOI:10.1007/s00044-012-0396-0)"	14	7	22	Manual data extraction	Data standardisation and curation	CHEMBL3045865
"Mol. Pharmacol. (2011), 80(1), 1-13 (PMID:21447641)"	4	32	66	Manual data extraction	Data standardisation and curation	CHEMBL3045866
"Med Chem Res (2012), 21(10), 2981-2989 (DOI:10.1007/s00044-011-9833-8)"	14	7	91	Manual data extraction	Data standardisation and curation	CHEMBL3045867
"Med Chem Res (2013), 22(9), 4228-4238 (DOI:10.1007/s00044-012-0429-8)"	24	131	412	Manual data extraction	Data standardisation and curation	CHEMBL3045868
"Pest Manag Sci (2010), 66(12), 1367-1373 (PMID:20949548)"	3	45	45	Manual data extraction	Data standardisation and curation	CHEMBL3045869
"Med Chem Res (2007), 16(1), 39-47 (DOI:10.1007/s00044-007-9008-9)"	12	1	12	Manual data extraction	Data standardisation and curation	CHEMBL3045870
"Med Chem Res (2013), 22(10), 4633-4640 (DOI:10.1007/s00044-012-0463-6)"	10	7	25	Manual data extraction	Data standardisation and curation	CHEMBL3045871
"Med Chem Res (2004), 13(3), 149-157 (DOI:10.1007/s00044-004-0021-y)"	17	40	115	Manual data extraction	Data standardisation and curation	CHEMBL3045872
"J Pesticide Sci (2007), 32(2), 99-105 (DOI:10.1584/jpestics.G06-46)"	14	17	79	Manual data extraction	Data standardisation and curation	CHEMBL3045873
"Tetrahedron (2012), 68(22), 4267-4273 (DOI:10.1016/j.tet.2012.03.065)"	20	20	63	Manual data extraction	Data standardisation and curation	CHEMBL3045874
"Med Chem Res (2013), 22(12), 5823-5831 (DOI:10.1007/s00044-013-0569-5)"	16	11	57	Manual data extraction	Data standardisation and curation	CHEMBL3045875
"Med Chem Res (2013), 22(7), 3405-3415 (DOI:10.1007/s00044-012-0307-4)"	8	3	22	Manual data extraction	Data standardisation and curation	CHEMBL3045876
"Med Chem Res (2012), 21(8), 1912-1920 (DOI:10.1007/s00044-011-9714-1)"	33	1	33	Manual data extraction	Data standardisation and curation	CHEMBL3045877
"J Pesticide Sci (1997), 22(1), 42-44 (DOI:10.1584/jpestics.22.42)"	3	6	18	Manual data extraction	Data standardisation and curation	CHEMBL3045878
"Med Chem Res (2013), 22(5), 2088-2092 (DOI:10.1007/s00044-012-0194-8)"	2	1	2	Manual data extraction	Data standardisation and curation	CHEMBL3045879
"J Agric Food Chem (2011), 59(11), 6172-6179 (PMID:21517076)"	25	30	182	Manual data extraction	Data standardisation and curation	CHEMBL3045880
"Med Chem Res (2010), 19(4), 311-336 (DOI:10.1007/s00044-009-9192-x)"	57	6	120	Manual data extraction	Data standardisation and curation	CHEMBL3045881
"Molecules (2012), 17(9), 10014-10025 (PMID:22922273)"	17	2	34	Manual data extraction	Data standardisation and curation	CHEMBL3045882
"J Agric Food Chem (2003), 51(9), 2506-2511 (PMID:12696928)"	3	6	14	Manual data extraction	Data standardisation and curation	CHEMBL3045883
"Med Chem Res (2013), 22(2), 758-767 (DOI:10.1007/s00044-012-0071-5)"	12	13	71	Manual data extraction	Data standardisation and curation	CHEMBL3045884
"Med Chem Res (2013), 22(10), 4592-4599 (DOI:10.1007/s00044-013-0467-x)"	4	2	8	Manual data extraction	Data standardisation and curation	CHEMBL3045885
"Med Chem Res (2013), 22(9), 4069-4074 (DOI:10.1007/s00044-012-0416-0)"	7	2	8	Manual data extraction	Data standardisation and curation	CHEMBL3045886
"Med Chem Res (2013), 22(10), 4708-4714 (DOI:10.1007/s00044-013-0474-y)"	11	18	198	Manual data extraction	Data standardisation and curation	CHEMBL3045887
"Med Chem Res (2012), 21(11), 3902-3906 (DOI:10.1007/s00044-011-9935-3)"	5	1	5	Manual data extraction	Data standardisation and curation	CHEMBL3045888
"Pest Manag Sci (2012), 68(8), 1191-1198 (PMID:22522694)"	1	14	28	Manual data extraction	Data standardisation and curation	CHEMBL3045889
"Med Chem Res (2004), 13(6), 337-347 (DOI:10.1007/s00044-004-0039-1)"	19	1	19	Manual data extraction	Data standardisation and curation	CHEMBL3045890
"Crop Protection (2003), 22(2), 333-340 (DOI:10.1016/S0261-2194(02)00175-8)"	3	16	48	Manual data extraction	Data standardisation and curation	CHEMBL3045891
"Med Chem Res (2013), 22(7), 3204-3212 (DOI:10.1007/s00044-012-0326-1)"	7	32	162	Manual data extraction	Data standardisation and curation	CHEMBL3045892
"Med Chem Res (2009), 18(3), 206-220 (DOI:10.1007/s00044-008-9120-5)"	28	1	56	Manual data extraction	Data standardisation and curation	CHEMBL3045893
"Med Chem Res (2004), 13(8), 687-706 (DOI:10.1007/s00044-004-0111-x)"	111	7	414	Manual data extraction	Data standardisation and curation	CHEMBL3045894
"Med Chem Res (2012), 21(10), 2772-2778 (DOI:10.1007/s00044-011-9804-0)"	8	12	30	Manual data extraction	Data standardisation and curation	CHEMBL3045895
"Med Chem Res (2011), 20(7), 1068-1073 (DOI:10.1007/s00044-010-9432-0)"	3	10	15	Manual data extraction	Data standardisation and curation	CHEMBL3045896
"Pest Manag Sci (2012), 68(3), 386-393 (PMID:21953851)"	4	8	41	Manual data extraction	Data standardisation and curation	CHEMBL3045897
"Med Chem Res (2010), 19(9), 1222-1232 (DOI:10.1007/s00044-009-9265-x)"	8	2	16	Manual data extraction	Data standardisation and curation	CHEMBL3045898
"Pest Manag Sci (2009), 65(1), 60-65 (PMID:18823067)"	9	1	9	Manual data extraction	Data standardisation and curation	CHEMBL3045899
"Med Chem Res (2008), 17(2), 53-61 (DOI:10.1007/s00044-007-9036-5)"	5	2	9	Manual data extraction	Data standardisation and curation	CHEMBL3045900
"Pest Manag Sci (2011), 67(12), 1499-1521 (PMID:21656896)"	37	49	257	Manual data extraction	Data standardisation and curation	CHEMBL3045901
"J Pesticide Sci (2006), 31(1), 35-40 (DOI:10.1584/jpestics.31.35)"	9	4	35	Manual data extraction	Data standardisation and curation	CHEMBL3045902
"Med Chem Res (2013), 22(3), 1197-1202 (DOI:10.1007/s00044-012-0126-7)"	12	4	48	Manual data extraction	Data standardisation and curation	CHEMBL3045903
