assay_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction,tid,relationship_type,confidence_score,curated_by,src_id,src_assay_id,chembl_id,cell_id,bao_format,tissue_id,variant_id,aidx
916350,70330,"Pre-emergence herbicidal activity against Rotala indica at 2000 g a.i/ha measured after 14 days",F,,,"Rotala indica",162024,,,,,107254,N,1,Autocuration,1,537395,CHEMBL3082082,,BAO_0000218,,,CLD0
916351,70330,"Pre-emergence herbicidal activity against Elatine triandra at 2000 g a.i/ha measured after 14 days",F,,,"Elatine triandra",256093,,,,,106898,N,1,Autocuration,1,537396,CHEMBL3082083,,BAO_0000218,,,CLD0
916352,70330,"Pre-emergence herbicidal activity against Lindernia procumbens at 2000 g a.i/ha measured after 14 days",F,,,"Lindernia procumbens",929486,,,,,107335,N,1,Autocuration,1,537394,CHEMBL3082084,,BAO_0000218,,,CLD0
916353,70330,"Pre-emergence herbicidal activity against Cyperus difformis at 2000 g a.i/ha measured after 14 days",F,,,"Cyperus difformis",421870,,,,,107323,N,1,Autocuration,1,537393,CHEMBL3082085,,BAO_0000218,,,CLD0
916354,70330,"Pre-emergence herbicidal activity against Echinochloa oryzicola at 2000 g a.i/ha measured after 14 days",F,,,"Echinochloa oryzicola",338574,,,,,107083,N,1,Autocuration,1,537392,CHEMBL3082006,,BAO_0000218,,,CLD0
916355,70330,"Post-emergence herbicidal activity against Eleocharis acicularis assessed as bleaching of stem/leaf parts",F,,,"Eleocharis acicularis",280053,,,,,106789,N,1,Autocuration,1,537391,CHEMBL3082007,,BAO_0000218,,,CLD0
916356,70330,"Pre-emergence herbicidal activity against Eleocharis acicularis assessed as bleaching of stem/leaf parts",F,,,"Eleocharis acicularis",280053,,,,,106789,N,1,Autocuration,1,537390,CHEMBL3082008,,BAO_0000218,,,CLD0
916357,70330,"Pre-emergence herbicidal activity against Ammannia multiflora assessed as bleaching of stem/leaf parts",F,,,Ammannia,162021,,,,,107334,N,1,Autocuration,1,537389,CHEMBL3082016,,BAO_0000218,,,CLD0
916358,70330,"Pre-emergence herbicidal activity against Rotala indica assessed as bleaching of stem/leaf parts",F,,,"Rotala indica",162024,,,,,107254,N,1,Autocuration,1,537387,CHEMBL3082017,,BAO_0000218,,,CLD0
916359,70330,"Pre-emergence herbicidal activity against Elatine triandra assessed as bleaching of stem/leaf parts",F,,,"Elatine triandra",256093,,,,,106898,N,1,Autocuration,1,537388,CHEMBL3082018,,BAO_0000218,,,CLD0
916360,70330,"Pre-emergence herbicidal activity against Lindernia procumbens assessed as bleaching of stem/leaf parts",F,,,"Lindernia procumbens",929486,,,,,107335,N,1,Autocuration,1,537386,CHEMBL3082019,,BAO_0000218,,,CLD0
916361,70330,"Pre-emergence herbicidal activity against Schoenoplectiella juncoides assessed as bleaching of stem/leaf parts",F,,,"Schoenoplectiella juncoides",280076,,,,,107084,N,1,Autocuration,1,537385,CHEMBL3082020,,BAO_0000218,,,CLD0
916362,70330,"Pre-emergence herbicidal activity against Monochoria vaginalis assessed as bleaching of stem/leaf parts",F,,,"Monochoria vaginalis",44972,,,,,106960,N,1,Autocuration,1,537384,CHEMBL3082021,,BAO_0000218,,,CLD0
916363,70330,"Pre-emergence herbicidal activity against Cyperus difformis assessed as bleaching of stem/leaf parts",F,,,"Cyperus difformis",421870,,,,,107323,N,1,Autocuration,1,537383,CHEMBL3082022,,BAO_0000218,,,CLD0
916364,70330,"Pre-emergence herbicidal activity against Echinochloa oryzicola assessed as bleaching of stem/leaf parts",F,,,"Echinochloa oryzicola",338574,,,,,107083,N,1,Autocuration,1,537382,CHEMBL3082023,,BAO_0000218,,,CLD0
916365,70330,"Post-emergence herbicidal activity against Ammannia multiflora assessed as bleaching of stem/leaf parts",F,,,Ammannia,162021,,,,,107334,N,1,Autocuration,1,537381,CHEMBL3082024,,BAO_0000218,,,CLD0
